37.1	117.7	362.6	387.4	505.8	86.7	5672.8	11332.8	3249.2	
61.9	28.95	201.4	802.2	4486	4287.6	3150	2455.6	1386.2	
74.3	1088.6	1733.4	989.4	4882.8	5474.4	2257.2	1287	554.2	
226.2	130.1	226.2	213.8	238.6	9745.6	1832.6	3844.4	1336.6	
-14.45	1.05	-14.45	-14.45	-14.45	3348.4	6268	3646	3943.6	
25.85	49.5	99.1	678.2	1287	2753.2	5474.4	4287.6	2554.8	
1138.2	74.3	123.9	325.4	300.6	3050.8	4089.2	8158.4	5077.6	
238.6	55.7	802.2	399.8	362.6	6069.6	2654	1882.2	1485.4	
61.9	61.9	68.1	288.2	362.6	481	8555.2	6863.2	4882.8	
142.5	111.5	313	530.6	7855.2	5672.8	3348.4	4882.8	2455.6	
37.1	74.3	105.3	337.8	387.4	12126.4	1287	989.4	136.3	
387.4	802.2	4486	14904	752.6	2356.4	4684.4	3646	1187.8	
99.1	-8.25	123.9	300.6	481	325.4	13316.8	3249.2	2554.8	
111.5	74.3	1138.2	10936	603.8	-14.45	4684.4	8158.4	5077.6	
49.5	-14.45	-14.45	-14.45	-14.45	5871.2	1882.2	1832.6	1832.6	
603.8	555.4	2852.4	17090.4	1287	5672.8	1783	2158	2158	
43.3	727.8	362.6	263.4	189	3844.4	6466.4	3249.2	4684.4	
164.2	275.8	213.8	653.4	4684.4	5077.6	2058.8	1138.2	2158	
275.8	362.6	1187.8	17884	4882.8	1535	4287.6	3150	1187.8	
25.85	49.5	99.1	350.2	678.2	4882.8	2753.2	3546.8	1336.6	
105.3	68.1	43.3	43.3	154.9	3348.4	4486	4287.6	2455.6	
55.7	37.1	55.7	148.7	362.6	5077.6	3646	3447.6	4089.2	
-14.45	4.15	-14.45	-14.45	-14.45	4486	3745.2	3447.6	2554.8	
55.7	86.7	111.5	176.6	275.8	7061.6	5474.4	2654	1882.2	
4.15	74.3	86.7	300.6	300.6	6268	3943.6	2158	901.4	
61.9	99.1	226.2	456.2	3050.8	4089.2	2554.8	3249.2	2356.4	
61.9	136.3	703	9745.6	1882.2	5081.2	3150	1733.4	1039	
74.3	92.9	164.2	263.4	-14.45	6069.6	1683.8	1535	1088.6	
530.6	678.2	1237.4	3844.4	15697.6	7061.6	3348.4	3050.8	1959.6	
-14.45	28.95	-14.45	164.2	142.5	5871.2	3348.4	2753.2	1832.6	
7.25	80.5	86.7	226.2	154.9	727.8	5672.8	4882.8	6664.8	
37.1	7.25	80.5	136.3	226.2	8555.2	2554.8	901.4	4089.2	
154.9	189	579	6466.4	530.6	5871.2	3546.8	2257.2	802.2	
10.35	68.1	16.55	251	164.2	6268	3447.6	2257.2	1435.8	
105.3	-11.35	201.4	603.8	2554.8	939.8	4486	3447.6	3348.4	
-5.15	1.05	55.7	130.1	300.6	6664.8	2852.4	2951.6	3447.6	
105.3	61.9	28.95	263.4	164.2	4684.4	1237.4	176.6	5871.2	
43.3	49.5	61.9	350.2	727.8	4287.6	4089.2	2455.6	1237.4	
55.7	148.7	226.2	1634.2	375	5672.8	4684.4	4089.2	1683.8	
86.7	80.5	130.1	201.4	238.6	3249.2	8158.4	4089.2	2257.2	
154.9	49.5	43.3	37.1	3646	4684.4	2158	1386.2	989.4	
74.3	-5.15	92.9	628.6	362.6	8555.2	3150	1435.8	1336.6	
-14.45	-14.45	-14.45	-14.45	-14.45	10142.4	1683.8	939.8	1959.6	
201.4	111.5	7.25	505.8	777.4	7061.6	2852.4	901.4	876.6	
7.25	-14.45	288.2	201.4	226.2	4486	3745.2	3943.6	3249.2	
22.75	-5.15	164.2	3447.6	505.8	4486	3646	3050.8	989.4	
123.9	-5.15	68.1	189	201.4	28.95	9745.6	5871.2	3348.4	
-8.25	74.3	1.05	1336.6	802.2	5077.6	3546.8	3646	530.6	
28.95	68.1	456.2	653.4	300.6	1683.8	4486	13713.6	3150	
25.85	55.7	99.1	-14.45	-14.45	9348.8	2753.2	3646	2257.2	
412.2	752.6	4287.6	24232.8	1088.6	4089.2	1386.2	939.8	628.6	
105.3	13.45	130.1	350.2	603.8	752.6	10142.4	3249.2	5871.2	
-14.45	-14.45	-14.45	325.4	-14.45	7061.6	628.6	-14.45	-14.45	
37.1	86.7	226.2	176.6	238.6	8952	2356.4	1959.6	1138.2	
164.2	16.55	399.8	989.4	4684.4	4287.6	2753.2	3050.8	678.2	
-14.45	-2.05	-14.45	275.8	362.6	4882.8	6268	1584.6	901.4	
-14.45	61.9	19.65	350.2	387.4	554.2	13316.8	2951.6	3050.8	
68.1	130.1	703	8952	1959.6	4882.8	2158	2257.2	901.4	
148.7	74.3	49.5	678.2	263.4	4287.6	1959.6	3646	5474.4	
37.1	49.5	136.3	337.8	49.5	8158.4	3646	1287	989.4	
43.3	-14.45	375	802.2	148.7	4089.2	1882.2	8158.4	4089.2	
628.6	226.2	105.3	176.6	226.2	3348.4	5672.8	4287.6	1138.2	
16.55	25.85	136.3	337.8	251	8555.2	5081.2	2356.4	2554.8	
74.3	22.75	43.3	164.2	226.2	2356.4	6268	3249.2	2852.4	
55.7	19.65	111.5	300.6	189	80.5	14507.2	5077.6	2951.6	
176.6	111.5	-14.45	13.45	2158	5081.2	2753.2	989.4	752.6	
28.95	55.7	61.9	176.6	251	4882.8	4287.6	2455.6	1882.2	
13.45	37.1	154.9	300.6	226.2	6268	1386.2	1882.2	2356.4	
136.3	238.6	1386.2	288.2	164.2	6466.4	5474.4	3745.2	2257.2	
55.7	92.9	80.5	325.4	777.4	7656.8	2951.6	1634.2	1039	
55.7	19.65	105.3	213.8	263.4	5077.6	1683.8	3348.4	4486	
19.65	28.95	226.2	251	201.4	5474.4	3150	5474.4	2158	
37.1	49.5	80.5	111.5	275.8	7855.2	3447.6	2058.8	939.8	
25.85	32.05	136.3	213.8	275.8	5871.2	5276	1959.6	2455.6	
-14.45	-14.45	603.8	1435.8	21058.4	6863.2	3646	1535	1336.6	
61.9	123.9	251	1237.4	7855.2	4684.4	1336.6	579	325.4	
-14.45	80.5	61.9	989.4	530.6	4486	5077.6	2058.8	1435.8	
61.9	1.05	55.7	505.8	238.6	6863.2	2058.8	3447.6	579	
74.3	-14.45	80.5	350.2	300.6	5672.8	6863.2	3646	2753.2	
19.65	49.5	148.7	288.2	213.8	5672.8	4486	2058.8	4486	
105.3	10.35	130.1	300.6	678.2	5672.8	4287.6	2158	2951.6	
49.5	61.9	49.5	275.8	164.2	6664.8	5276	2356.4	1733.4	
16.55	49.5	28.95	201.4	130.1	6268	1959.6	7458.4	2951.6	
68.1	68.1	226.2	337.8	275.8	55.7	17090.4	2554.8	1435.8	
164.2	275.8	939.8	4089.2	9745.6	4089.2	2455.6	851.8	653.4	
